Date,VIXM,^VIX,SPY
2013-08-26,14300,0,89702100
2013-08-27,95475,0,158619400
2013-08-28,30800,0,108113000
2013-08-29,38100,0,119200500
2013-08-30,36325,0,134928900
2013-09-03,98000,0,142375100
2013-09-04,31475,0,97389400
2013-09-05,13275,0,63090500
2013-09-06,34925,0,159756500
2013-09-09,80700,0,87559300
2013-09-10,30750,0,105847200
2013-09-11,10325,0,94545900
2013-09-12,107250,0,83209000
2013-09-13,34125,0,72727800
2013-09-16,19825,0,106299200
2013-09-17,22200,0,82523300
2013-09-18,102475,0,203460600
2013-09-19,19700,0,146616900
2013-09-20,31775,0,132867100
2013-09-23,28075,0,104616500
2013-09-24,17225,0,106333100
2013-09-25,10000,0,117306500
2013-09-26,12325,0,77146900
2013-09-27,18725,0,99141800
2013-09-30,15175,0,143937000
2013-10-01,6625,0,127160000
2013-10-02,32425,0,113350000
2013-10-03,43500,0,176698000
2013-10-04,55325,0,96878000
2013-10-07,30400,0,96295000
2013-10-08,112525,0,178015000
2013-10-09,73100,0,168973000
2013-10-10,62725,0,195955000
2013-10-11,27675,0,105040000
2013-10-14,76950,0,112106000
2013-10-15,81725,0,155485000
2013-10-16,72075,0,161676000
2013-10-17,96825,0,129389000
2013-10-18,101350,0,138316000
2013-10-21,43075,0,104104000
2013-10-22,94700,0,126663000
2013-10-23,25950,0,105484000
2013-10-24,20600,0,70350000
2013-10-25,10225,0,93625000
2013-10-28,20100,0,84979000
2013-10-29,15700,0,87401000
2013-10-30,45900,0,140002000
2013-10-31,10850,0,133795000
2013-11-01,13575,0,142805000
2013-11-04,8750,0,85677000
2013-11-05,7175,0,85825000
2013-11-06,24025,0,87348000
2013-11-07,16725,0,157000000
2013-11-08,13475,0,136713000
2013-11-11,12275,0,62614000
2013-11-12,5700,0,83990000
2013-11-13,13500,0,103844000
2013-11-14,4775,0,103435000
2013-11-15,69825,0,102818000
2013-11-18,32100,0,104796000
2013-11-19,17100,0,93891000
2013-11-20,21700,0,124909000
2013-11-21,12000,0,92841000
2013-11-22,13975,0,81296000
2013-11-25,12850,0,79486000
2013-11-26,22675,0,86994000
2013-11-27,10875,0,58800000
2013-11-29,6800,0,55870900
2013-12-02,35225,0,99726000
2013-12-03,35550,0,116563000
2013-12-04,8450,0,123033000
2013-12-05,4850,0,106934000
2013-12-06,120450,0,127728000
2013-12-09,16575,0,70124000
2013-12-10,9350,0,80976000
2013-12-11,21400,0,130591000
2013-12-12,23225,0,115565000
2013-12-13,3925,0,107808000
2013-12-16,3625,0,96195000
2013-12-17,6425,0,89886000
2013-12-18,23025,0,234906000
2013-12-19,23950,0,136531200
2013-12-20,19350,0,197087000
2013-12-23,9850,0,85598000
2013-12-24,16575,0,45368800
2013-12-26,15925,0,63365000
2013-12-27,7925,0,61814000
2013-12-30,15100,0,56857000
2013-12-31,38300,0,86119900
2014-01-02,35775,0,119636900
2014-01-03,12725,0,81390600
2014-01-06,9750,0,108028200
2014-01-07,11450,0,86144200
2014-01-08,7825,0,96582300
2014-01-09,9650,0,90683400
2014-01-10,18450,0,102026400
2014-01-13,8800,0,149892000
2014-01-14,18350,0,105016100
2014-01-15,4400,0,98525800
2014-01-16,6550,0,72290600
2014-01-17,8575,0,107848700
2014-01-21,30375,0,88621200
2014-01-22,4650,0,61270900
2014-01-23,14375,0,132496900
2014-01-24,128600,0,208677100
2014-01-27,50325,0,180843100
2014-01-28,37250,0,110463200
2014-01-29,65650,0,216597300
2014-01-30,19850,0,118938100
2014-01-31,16425,0,194677900
2014-02-03,48250,0,254837100
2014-02-04,36725,0,165012400
2014-02-05,18425,0,164230500
2014-02-06,36375,0,132877600
2014-02-07,40250,0,170787200
2014-02-10,21175,0,92218800
2014-02-11,15125,0,117814100
2014-02-12,7300,0,94717700
2014-02-13,12125,0,100542200
2014-02-14,25950,0,96498400
2014-02-18,9075,0,80460900
2014-02-19,15100,0,126524300
2014-02-20,5775,0,104998100
2014-02-21,10100,0,118116400
2014-02-24,7950,0,114063900
2014-02-25,6725,0,117085000
2014-02-26,10250,0,98677200
2014-02-27,18150,0,93880800
2014-02-28,21275,0,150842000
2014-03-03,51550,0,167748500
2014-03-04,33275,0,167545900
2014-03-05,16425,0,88376900
2014-03-06,9500,0,82516500
2014-03-07,10575,0,114513500
2014-03-10,46850,0,74939200
2014-03-11,20175,0,99009100
2014-03-12,9325,0,104824400
2014-03-13,23550,0,155014300
2014-03-14,24300,0,153919600
2014-03-17,21975,0,98359500
2014-03-18,15800,0,101804600
2014-03-19,6925,0,176267300
2014-03-20,8875,0,117241000
2014-03-21,35225,0,163128000
2014-03-24,8300,0,121411000
2014-03-25,2625,0,103852000
2014-03-26,10250,0,119843000
2014-03-27,3400,0,142383000
2014-03-28,5100,0,101642000
2014-03-31,15100,0,99745000
2014-04-01,46225,0,89193000
2014-04-02,37975,0,78774000
2014-04-03,8150,0,77435000
2014-04-04,17750,0,169381000
2014-04-07,22550,0,140803000
2014-04-08,6125,0,112660000
2014-04-09,12175,0,100254000
2014-04-10,19975,0,172959000
2014-04-11,22950,0,167251000
2014-04-14,16650,0,132382000
2014-04-15,11125,0,157093000
2014-04-16,9175,0,105197000
2014-04-17,39700,0,105255000
2014-04-21,10425,0,68329000
2014-04-22,26825,0,85790000
2014-04-23,4825,0,73869000
2014-04-24,12225,0,88170000
2014-04-25,4775,0,100380000
2014-04-28,6075,0,135121000
2014-04-29,13500,0,84098000
2014-04-30,5300,0,101508000
2014-05-01,3175,0,93019000
2014-05-02,10125,0,98122000
2014-05-05,119000,0,75883000
2014-05-06,3475,0,85454000
2014-05-07,16650,0,106500000
2014-05-08,9950,0,93618000
2014-05-09,3000,0,83679000
2014-05-12,10775,0,86940000
2014-05-13,20150,0,66454000
2014-05-14,11650,0,72367000
2014-05-15,8025,0,154956000
2014-05-16,7600,0,97458000
2014-05-19,13225,0,63839000
2014-05-20,27425,0,111644000
2014-05-21,25825,0,89093000
2014-05-22,23750,0,61549000
2014-05-23,10925,0,61092800
2014-05-27,6425,0,72010000
2014-05-28,19425,0,66723000
2014-05-29,11575,0,64377000
2014-05-30,21875,0,76316000
2014-06-02,6325,0,64656000
2014-06-03,13500,0,65047000
2014-06-04,10425,0,55529000
2014-06-05,15150,0,92103000
2014-06-06,45375,0,78696000
2014-06-09,15075,0,65119000
2014-06-10,22750,0,57129000
2014-06-11,26950,0,68772000
2014-06-12,28525,0,106350000
2014-06-13,5200,0,82017000
2014-06-16,8150,0,87424000
2014-06-17,25225,0,84834000
2014-06-18,39275,0,105267000
2014-06-19,45875,0,85929000
2014-06-20,7675,0,100587000
2014-06-23,55350,0,70611000
2014-06-24,28650,0,96237000
